focus,dimension,category,definition,example,include_in_tax_class,references
author,overall_goal,request_info_support,"request factual info or advice about approaches, strategies, etc.","The author recounts a series of troubleshooting steps they've already followed to solve a technical issue, then poses a technical question.",TRUE,
author,overall_goal,provide_info_support,"provide facts or advice about approaches, strategies, etc.",The author reports a newsworthy event relevant to the community.,TRUE,
author,overall_goal,request_emotional_support,"express emotions or characterize a situation to elicit others' comfort, understanding, or empathy.",The author describes a series of unlucky events with their family and reports feeling misunderstood.,TRUE,
author,overall_goal,provide_emotional_support,"provide emotional support to someone by acknowledging their identity, values, or accomplishments; or offering emotional comfort, understanding, or empathy.",The author justifies how someone who (presumably) posted a text earlier in the conversation reacted in some situation.,TRUE,
author,overall_goal,affirm_identity_self,"reinforce or assert their own identity, values, or accomplishments.",The author asserts that they are a good student.,TRUE,
author,overall_goal,request_experiential_accounts,solicit stories or experience from others to gain perspective or insight.,The author describes a strange experience and then asks if anyone else has experienced something similar.,FALSE,
author,overall_goal,provide_experiential_accounts,share a personal story or experience to inform or engage others.,The author shares a story about their immigration experience to show that it was different than how someone who (presumably) posted earlier characterized immigration.,TRUE,
author,overall_goal,persuade_debate,advocate for a viewpoint or make an argument to convince others.,The author asserts that a sports team made a bad trade based on the poor track record of a player.,TRUE,
author,overall_goal,entertain,share an enjoyable or funny post.,The author repeats a famous joke from a comedian.,TRUE,
author,narrative_intent,show_identity,"demonstrate an aspect of their identity in action, by example.",The author shows that they can't be bought by telling a story about how they turned down a lucrative job offer that did not align with their values.,TRUE,
author,narrative_intent,justify_challenge_offer_belief_norm,"explain how they came to hold or question a belief or social norm, or to reinforce/demonstrate why it is correct, beneficial, misguided, or harmful; teach a life lesson or influence the behaviors or attitudes of readers",The author told a story about how they came to appreciate the politeness of small talk in the South in the U.S.,TRUE,
author,narrative_intent,entertain,share an enjoyable or funny story.,The author tells a story about a dream where they were giving a presentation in their underwear.,TRUE,
author,narrative_intent,release_pent_up_emotions,express themself as a means of emotional release or sensemaking.,The author recounts being totally caught off guard in a Zoom call where they were fired unceremoniously.,TRUE,
author,narrative_intent,convey_emotional_support_need,"describe events that have left them in an unfortunate or unresolved state, in need of emotional support.",The author tells a story about how they have become lonely over the last few months because there friends have stopped reaching out.,TRUE,
author,narrative_intent,convey_similar_experience,share a story similar to another story or related to a situation under discussion.,The author tells a story about their experience with graduate school admissions in the context of a discussion about different people's similar experiences.,TRUE,
author,narrative_intent,clarify_what_transpired,correct misunderstandings or add missing details associated with an event or situation under discussion.,The author points out that a discussion has overlooked several important factors or events that are necessary to understand a situation under discussion.,TRUE,
author,author_emotional_response,fear,a response to perceived danger or threat.,The author tells a story about how they heard banging on their door in the middle of the night.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,guilt,remorse for violating personal or social standards.,The author tells a story about how they have been keeping the fact that they dropped out of college a secret from their parents.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,anger,"a strong reaction to perceived harm, injustice, or frustration.",The author tells a story about how their dog was attacked at a park by another dog whose owner did not use a leash.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
author,author_emotional_response,sadness,"a sense of loss, disappointment, or helplessness.",The author tells a story about how they were rejected from their dream school.,TRUE,https://en.wikipedia.org/wiki/Emotion_classification#Plutchik's_wheel_of_emotions; Nabi
