dimension,summary
overall_goal,"Some common overall goals for posting on social media include:
- request or provide facts or info about approaches, strategies, etc
- seek or provide emotional support
- express/reinforce one’s identity, values, or accomplishments
- solicit or share experiences to gain or share insights
- argue/advocate for a viewpoint to persuade others
- share an enjoyable or funny post

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
narrative_intent,"Some common reasons people tell a story in a social media post include:
- express/demonstrate one’s identity or beliefs
- teach a life lesson
- justify or challenge a belief or social norm
- entertain
- release pent up emotions (vent)
- convey need for emotional support
- convey a similar experience
- correct misunderstandings or add missing details associated with an event/situation

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
author_emotional_response,"Some feelings an author could experience after telling a story in a social media post include: fear, guilt, anger, sadness, disgust, envy, joy, pride, relief, hope, compassion, appreciation, and connection.

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
causal_explanation,"Readers often make inferences to explain aspects of a story. Some common types of explanatory inferences readers make include:
- inferences about the narrator’s (or other characters’) values, beliefs, or goals (to explain character actions or state)
- inferences about why an event or state not directly caused by a human happened (e.g., why a natural disaster happened)

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
prediction,"Readers often predict what will happen next in the world of a story. Some common types of predictions include:
- predictions about the future actions or state of the narrator (or other characters) values, beliefs, or goals (to explain character actions or mental state)
- predictions about a future event or state not directly caused by a human (e.g., an asteroid hitting)

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
moral,"Some common morals/values that stories highlight the importance of include: independence, novelty/change, pleasure, achievement, power, security, conformity, tradition, benevolence, and universalism.

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
narrative_feeling,"Readers may sympathize or empathize with emotions of the narrator or other characters in a story, or they may feel emotions that differ from emotions of characters. The content of stories can also evoke memories in readers, causing readers to remember or relive emotions. Some of the feelings a reader could experience while or after reading a story include: fear, guilt, anger, sadness, disgust, envy, joy, pride, relief, hope, compassion, appreciation, and connection.

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
aesthetic_feeling,"The form, techniques, or style of a story can evoke aesthetic feelings in readers. Some aesthetic feelings a reader might experience include: suspense (anticipation for imminent event), curiosity (desire for information from the past to explain the present), surprise (experiencing a shocking/unexpected event), attentional engagement (feeling attention is grabbed and held by the story), feeling pulled into the world of the story, and visualization of images.

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
character_appraisal,"Readers often judge whether character’s actions or state (e.g., beliefs, values, goals). Some common types of character appraisals include: positive, negative, or neutral judgment of the narrator (or another character).

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
stance,"Readers often take a stance or overall opinion in response to a main idea, argument, or point advocated for by the author of a story, implicitly or explicitly. Readers can support (agree with), counter (disagree with), or be neutral to the author’s stance.

These are just a few ideas to help you think. Answer in your own words as precisely as possible. Don’t copy directly from this list unless it truly is the best answer."
