\begin{table*}[h]
\small
\centering
\begin{tabular}{lccccc}
\toprule
Dimension & Cosine Sim. & BERTScore & BLEU & METEOR & N \\
\midrule
overall\_goal & 0.403 & 0.862 & 0.095 & 0.147 & 54 \\
narrative\_intent & 0.368 & 0.862 & 0.097 & 0.127 & 54 \\
author\_emotional\_response & 0.300 & 0.861 & 0.231 & 0.070 & 54 \\
character\_appraisal & 0.568 & 0.889 & 0.480 & 0.210 & 48 \\
causal\_explanation & 0.394 & 0.866 & 0.118 & 0.170 & 41 \\
prediction & 0.460 & 0.878 & 0.335 & 0.244 & 45 \\
stance & 0.540 & 0.903 & 0.381 & 0.232 & 45 \\
moral & 0.388 & 0.855 & 0.071 & 0.113 & 54 \\
narrative\_feeling & 0.313 & 0.839 & 0.067 & 0.089 & 54 \\
aesthetic\_feeling & 0.252 & 0.847 & 0.130 & 0.081 & 45 \\
\midrule
Overall & 0.399 & 0.866 & 0.201 & 0.148 & 0 \\
\bottomrule
\end{tabular}
\caption{Comparison of human-written inferences to GPT-4o generated inferences. We report cosine similarity, BERTScore \cite{Zhang2019-tb}, $BLEU_3$ \cite{Papineni2002-hn}, and METEOR \cite{Banerjee2005-dg}.}
\label{tab:gpt4o_x_prolific_hw}
\end{table*}
